Brand,Price,Rating,Product Link,Image URL
OWNDAYS,₹4300,4.9,https://www.lenskart.com/owndays-od-e50030-c3-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//o/i/silver-rimless-square-owndays-titanium-od-e50030-c3-eyeglasses__dsc9096_16_09_2024.jpg
John Jacobs,₹4300,4.8,https://www.lenskart.com/john-jacobs-jj-e70127-black-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-full-rim-wayfarer-john-jacobs-jj-rich-acetate-jj-e70127-eyeglasses_dsc2223_11_02_2025.jpg
John Jacobs,₹3300,4.8,https://www.lenskart.com/john-jacobs-rimless-jj-e12610-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/Gold-Brown-Rimless-Rectangle-John-Jacobs-Supreme-Steel-JJ-E12610-C1-Eyeglasses_john-jacobs-rimless-jj-e12565-c1-eyeglasses_g_973614_02_2022.jpg
John Jacobs,₹4300,4.9,https://www.lenskart.com/john-jacobs-jj-e70130-silver-black--eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/gunmetal-full-rim-aviator-john-jacobs-jj-supreme-steel-jj-e70130-eyeglasses_dsc2321_11_02_2025.jpg
John Jacobs,₹3300,4.9,https://www.lenskart.com/john-jacobs-jj-e70073-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/maroon-tortoise-full-rim-cat-eye-john-jacobs-rich-acetate-jj-e70073-c1-eyeglasses__dsc7453_18_10_2024.jpg
John Jacobs,₹4300,4.8,https://www.lenskart.com/john-jacobs-jj-e70136-black-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-full-rim-rectangle-john-jacobs-jj-rich-acetate-jj-e70136-eyeglasses_dsc2257_11_02_2025.jpg
John Jacobs,₹4300,4.9,https://www.lenskart.com/john-jacobs-jj-e13672-rimless-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/rose-gold-rimless-cat-eye-john-jacobs-pro-titanium-jj-e13672-c1-eyeglasses_g_0968_2_jun2023.jpg
John Jacobs,₹4300,4.9,https://www.lenskart.com/john-jacobs-jj-e14143-c3-c3-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/o/john-jacobs-jj-e14143-c3-c3-eyeglasses_john-jacobs-jj-e14143-c3-c3-eyeglasses_G_6409.jpg
John Jacobs,₹3300,4.8,https://www.lenskart.com/john-jacobs-jj-e16847-c3-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/blue-transparent-blue-full-rim-rectangle-john-jacobs-tr-flex-jj-e16847-c3-eyeglasses__dsc5178_23_04_2024.jpg
John Jacobs,₹4300,5,https://www.lenskart.com/john-jacobs-jj-e70134-black-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-full-rim-square-john-jacobs-jj-rich-acetate-jj-e70134-eyeglasses_dsc2299_11_02_2025.jpg
John Jacobs,₹3300,4.8,https://www.lenskart.com/john-jacobs-jj-e16117-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e16117-c1-eyeglasses_img_0155_26_10_2023.jpg
John Jacobs,₹3300,4.9,https://www.lenskart.com/john-jacobs-jj-e16621-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/brown-blue-full-rim-rectangle-john-jacobs-eco-acetate-jj-e16621-c1-eyeglasses_img_2862_15feb24.jpg
OWNDAYS,₹4300,4.9,https://www.lenskart.com/owndays-od-e50030-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//o/i/black-rimless-rectangle-owndays-titanium-od-e50030-c1-eyeglasses__dsc9226_16_09_2024.jpg
John Jacobs,₹4300,4.8,https://www.lenskart.com/john-jacobs-jj-e70083-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/tortoise-gold-full-rim-cat-eye-john-jacobs-rich-acetate-jj-e70083-c2-eyeglasses__dsc7303_19_10_2024.jpg
John Jacobs,₹4300,4.9,https://www.lenskart.com/john-jacobs-jj-e70133-black-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-full-rim-wayfarer-john-jacobs-jj-rich-acetate-jj-e70133-eyeglasses_dsc2289_11_02_2025.jpg
John Jacobs,₹4300,4.9,https://www.lenskart.com/john-jacobs-jj-e12342-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/o/john-jacobs-jj-e12342-c2-eyeglasses_john-jacobs-jj-e12342-c2-eyeglasses_G_3286.jpg
John Jacobs,₹3300,4.9,https://www.lenskart.com/john-jacobs-jj-e14409-c6-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/pink-gold-pink-full-rim-cat-eye-john-jacobs-tr-flex-jj-e-14409-c6-eyeglasses__dsc5657.jpg
John Jacobs,₹3300,4.9,https://www.lenskart.com/john-jacobs-jj-e16115-c3-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e16115-c3-eyeglasses_img_0121_26_10_2023.jpg
John Jacobs,₹3300,4.9,https://www.lenskart.com/john-jacobs-jj-e16385-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e16385-c2-eyeglasses_img_0266_26_10_2023.jpg
John Jacobs,₹3300,4.8,https://www.lenskart.com/john-jacobs-jj-e13319-c3-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/o/john-jacobs-jj-e13319-c3-eyeglasses_g_7753.jpg
John Jacobs,₹4300,4.9,https://www.lenskart.com/john-jacobs-jj-e16621-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/green-full-rim-rectangle-john-jacobs-eco-acetate-jj-e16621-c2-eyeglasses_img_2832_15feb24.jpg
OWNDAYS,₹4300,4.9,https://www.lenskart.com/owndays-od-e50026-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//o/i/black-rimless-aviator-owndays-titanium-od-e50026-c1-eyeglasses__dsc9250_16_09_2024.jpg
John Jacobs,₹4300,4.9,https://www.lenskart.com/john-jacobs-jj-e16436-c3-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e16436-c3-eyeglasses_img_0225_26_10_2023.jpg
John Jacobs,₹3300,4.9,https://www.lenskart.com/john-jacobs-jj-e11515-c10-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/pink-transparent-full-rim-round-john-jacobs-rich-acetate-jj-e11515-c10-eyeglasses_img_7159_01_10_2025.jpg
John Jacobs,₹3300,4.9,https://www.lenskart.com/john-jacobs-jj-e16115-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e16115-c2-eyeglasses_img_0164_26_10_2023.jpg
John Jacobs,₹3300,4.8,https://www.lenskart.com/john-jacobs-jj-e16842-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-gold-black-full-rim-rectangle-john-jacobs-tr-flex-jj-e16842-c2-eyeglasses__dsc5109_23_04_2024.jpg
OWNDAYS,₹4300,4.9,https://www.lenskart.com/owndays-od-e50021-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//o/i/black-rimless-rectangle-owndays-titanium-od-e50021-c2-eyeglasses__dsc9210_16_09_2024.jpg
John Jacobs,₹4300,4.7,https://www.lenskart.com/john-jacobs-jj-e11549-c4-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/gold-black-full-rim-round-john-jacobs-supreme-steel-jj-e11549-c4-eyeglasses_g_6459_8_17_22.jpg
OWNDAYS,₹4300,4.9,https://www.lenskart.com/owndays-od-e50036-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//o/i/gunmetal-rimless-rectangle-owndays-titanium-od-e50036-c1-eyeglasses__dsc9234_16_09_2024.jpg
John Jacobs,₹3300,4.8,https://www.lenskart.com/john-jacobs-jj-e16146-c4-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e16146-c4-eyeglasses_img_0196_26_10_2023.jpg
John Jacobs,₹3300,4.9,https://www.lenskart.com/john-jacobs-jj-e14410-c6-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-gold-black-full-rim-round-john-jacobs-tr-flex-jj-e14410-c6-eyeglasses__dsc7006_20_06_2024.jpg
John Jacobs,₹3300,4.8,https://www.lenskart.com/john-jacobs-jj-e11515-c11-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/transparent-full-rim-round-john-jacobs-rich-acetate-jj-e11515-c11-eyeglasses_dsc5970_16_10_2024.jpg
John Jacobs,₹4300,4.8,https://www.lenskart.com/john-jacobs-jj-e70083-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/transparent-sky-blue-gold-full-rim-cat-eye-john-jacobs-rich-acetate-jj-e70083-c1-eyeglasses__dsc7416_21_10_2024.jpg
John Jacobs,₹4300,4.9,https://www.lenskart.com/john-jacobs-jj-e11675-c5-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-full-rim-hexagonal-john-jacobs-supreme-steel-jj-e11675-eyeglasses__dsc1659_09_12_2024.jpg
John Jacobs,₹3300,4.9,https://www.lenskart.com/john-jacobs-jj-e16386-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e16386-c2-eyeglasses_img_0250_26_10_2023.jpg
John Jacobs,₹4300,4.9,https://www.lenskart.com/john-jacobs-jj-e11540xs-c4-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/gunmetal-black-full-rim-rectangle-john-jacobs-supreme-steel-jj-e11540xs-c4-eyeglasses_g_2643_02_21_23.jpg
OWNDAYS,₹4300,4.9,https://www.lenskart.com/owndays-od-e50026-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//o/i/gold-rimless-aviator-owndays-titanium-od-e50026-c2-eyeglasses__dsc9079_16_09_2024.jpg
John Jacobs,₹3300,4.8,https://www.lenskart.com/eye:john-jacobs-jj-e70059/m-c4-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e70059-m-c4-eyeglasses_dsc0263_13_09_2024.jpg
John Jacobs,₹3300,5,https://www.lenskart.com/john-jacobs-jj-e10007-c15-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-full-rim-rectangle-john-jacobs-rich-acetate-jj-e10007-c15-eyeglasses_img_7107_24_02_2024.jpg
John Jacobs,₹3300,4.8,https://www.lenskart.com/john-jacobs-jj-e10005-c12-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/brown-grey-transparent-brown-full-rim-rectangle-john-jacobs-rich-acetate-jj-e10005-c12-eyeglasses_img_5371_30_9_2025.jpg
OWNDAYS,₹4300,4.9,https://www.lenskart.com/owndays-od-e50014-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//o/i/owndays-od-e50014-c2-eyeglasses__dsc1098_18_09_2024.jpg
