Brand,Price,Original Price,Discount,Rating,Reviews,Product Link,Image URL,Category
Lenskart Hustlr Screen Glasses,₹1000,₹ 2000,(50% OFF),4.8,5163.0,https://www.lenskart.com/lenskart-hustlr-lb-e14058-c23-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/peyush-bansal-shark-tank-dark-night-full-rim-hustlr-eyeglasses_csvfile-1679642300116-black2.jpg,Final_Products
Lenskart Hustlr Screen Glasses,₹1000,₹ 2000,(50% OFF),4.8,5163.0,https://www.lenskart.com/lenskart-hustlr-lb-e14058-H-c39-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-screen-glasses:--grey--full-rim-square-lenskart-blu-lb-e14058-h-c39_csvfile-1676454791825-g_3913.jpg,Final_Products
Lenskart Hustlr Screen Glasses,₹500,₹ 2000,(75% OFF),4.8,378.0,https://www.lenskart.com/lenskart-hustlr-lb-e14058-xw-c54-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-hustlr-lb-e14058-xw-c54-eyeglasses__dsc7080_20_06_2024.jpg,Final_Products
Lenskart BLU Screen Glasses,₹600,₹ 1500,(60% OFF),4.7,4105.0,https://www.lenskart.com/vincent-chase-vc-e13526-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-screen-glasses:-matte-black-full-rim-square-lenskart-blu-lb-e13526-c1_vincent-chase-vc-e13526-c1-eyeglasses_g_8389_28july23.jpg,Final_Products
Lenskart BLU Screen Glasses,₹500,₹ 2000,(75% OFF),4.6,107.0,https://www.lenskart.com/lenskart-blu-lb-e18341-silver -eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-screen-glasses:-gold-full-rim-square-lenskart-blu-lb-e18341_dsc8424_03_07_2025.jpg,Final_Products
Lenskart BLU Screen Glasses,₹600,₹ 1500,(60% OFF),4.7,4105.0,https://www.lenskart.com/vincent-chase-vc-e13526-c3-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-matte-grey-full-rim-square-lenskart-blu-lb-e13526-c3_vincent-chase-vc-e13526-c3-eyeglasses_g_841522_02_2022.jpg,Final_Products
Lenskart Hustlr Screen Glasses,₹1000,₹ 2000,(50% OFF),4.8,5163.0,https://www.lenskart.com/lenskart-hustlr-lb-e14058-c34-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/peyush-bansal-shark-tank-navy-full-rim-square-lenskart-hustlr-lb-e14058-h-c34-eyeglasses_g_1238_09_11_2023.jpg,Final_Products
Lenskart BLU Screen Glasses,₹600,₹ 1500,(60% OFF),4.7,1035.0,https://www.lenskart.com/lenskart-blu-lb-e13737-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-blue-full-rim-rectangle-lenskart-blu-lb-e13737-c2_lenskart-blu-lb-e13737-c2-eyeglasses_lenskart-blu-lb-e13737-c2-eyeglasses_eyeglasses_g_101023_02_2022.jpg,Final_Products
Lenskart BLU Screen Glasses,₹500,₹ 2000,(75% OFF),4.6,107.0,https://www.lenskart.com/lenskart-blu-lb-e18341-mattblack-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-screen-glasses:-black-full-rim-square-lenskart-blu-lb-e18341_dsc8446_03_07_2025.jpg,Final_Products
Lenskart Hustlr Screen Glasses,₹1000,₹ 2000,(50% OFF),4.8,5163.0,https://www.lenskart.com/lenskart-hustlr-screen-glasses-lb-e14058-w-frost-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-screen-glasses-:-frost-full-rim-square-lenskart-hustlr-screen-glasses-hustlr-npr-lb-e14058-w-eyeglasses__dsc3637_30_12_2024.jpg,Final_Products
