Brand,Price,Original Price,Discount,Rating,Reviews,Product Link,Image URL
Lenskart Hustlr Screen Glasses,₹1000,₹ 2000,(50% OFF),4.8,378,https://www.lenskart.com/lenskart-hustlr-lb-e14058-hl-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/peyush-bansal-shark-tank-blue-sky-full-rim-square-lenskart-blu-lb-e14058-h-xw-c1-eyeglasses_213461_2_19_10_2023.jpg
John Jacobs Screen Glasses,₹1600,₹ 4000,(60% OFF),4.5,106,https://www.lenskart.com/brown-tortoise-golden-full-rim-rectangle-medium-size-53-john-jacobs-tr-flex-jj-e11500-c3-neweyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/blue-block-phone-&-computer-glasses:-brown-tortoise-gold-full-rim-rectangle-john-jacobs-tr-flex-jj-e11500-c3_john-jacbos-jj-e11500-c3-eyeglasses-dup_eyeglasses_g_7666_1_322_02_2022.jpg
Lenskart BLU Screen Glasses,₹800,₹ 2000,(60% OFF),4.6,322,https://www.lenskart.com/lenskart-blu-lb-e13533-c4-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-green-black-full-rim-wayfarer-lenskart-blu-l-be13533-c4_csvfile-1647521324049-g_9144.jpg
Lenskart Hustlr Screen Glasses,₹1000,₹ 2000,(50% OFF),4.8,378,https://www.lenskart.com/lenskart-hustlr-lb-e14058-h-xw-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/peyush-bansal-shark-tank-greystone-full-rim-square-lenskart-blu-lb-e14058-h-xw-c2-eyeglasses_213471_2_19_10_2023.jpg
Lenskart BLU Screen Glasses,₹600,₹ 1500,(60% OFF),4.7,523,https://www.lenskart.com/lenskart-blu-lb-e14062-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-pink-transparent-pink-full-rim-round-lenskart-blu-lb-e14061-c2_lenskart-blu-lb-e14062-c2-eyeglasses_lenskart-blu-lb-e14062-c2-eyeglasses_eyeglasses_g_0739_125_02_2022.jpg
Lenskart BLU Screen Glasses,₹600,₹ 1500,(60% OFF),4.7,143,https://www.lenskart.com/lenskart-blu-lb-e14067-c5-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/e/lenskart-blu-lb-e14067-c5-eyeglasses_lenskart-blu-lb-e14067-c5-eyeglasses_g_1279.jpg
Lenskart BLU Screen Glasses,₹800,₹ 2000,(60% OFF),4.7,385,https://www.lenskart.com/lenskart-blu-lb-e14131-c1-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-silver-tortoise-full-rim-round-lenskart-blu-lb-e14131-c1_lenskart-blu-lb-e14131-c1-c1-eyeglasses_lenskart-blu-lb-e14131-c1-c1-eyeglasses_g_988325_02_2022.jpg
Lenskart BLU Screen Glasses,₹800,₹ 2000,(60% OFF),4.7,385,https://www.lenskart.com/lenskart-blu-lb-e14131-c4-c4-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-black-full-rim-round-lenskart-blu-lb-e14131-c4_lenskart-blu-lb-e14131-c4-c4-eyeglasses_lenskart-blu-lb-e14131-c4-c4-eyeglasses_g_8344_125_02_2022.jpg
Lenskart BLU Screen Glasses,₹800,₹ 2000,(60% OFF),4.7,385,https://www.lenskart.com/lenskart-blu-lb-e14131-c2-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-gold-black-full-rim-round-lenskart-blu-lb-e14131-c2_lenskart-blu-lb-e14131-c2-c2-eyeglasses_lenskart-blu-lb-e14131-c2-c2-eyeglasses_g_8358_125_02_2022.jpg
Lenskart BLU Screen Glasses,₹800,₹ 2000,(60% OFF),4.7,385,https://www.lenskart.com/lenskart-blu-lb-e14131-c3-c3-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-red-full-rim-round-lenskart-blu-lb-e14131-c3_lenskart-blu-lb-e14131-c3-c3-eyeglasses_lenskart-blu-lb-e14131-c3-c3-eyeglasses_g_8351_125_02_2022.jpg
